date,acquirer,target,value,sector,importance,source,url,title,status
2026-06-09,Novanta,Riverpoint Medical,$1.45B,Healthcare,4,citybiz,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQamFGTEV3OGpTZlNDdlZJRkswVnJUQmFTaWxrVWFSOFpzYmlDTml4a2xERXNkN2JDY3NBeV9IU0xLXzYtZzBGRDBrQ29xWW5iMHVFT1o0bE1UcmtfckdTVW92NVJ3S1RMcks2RVBzeEtFUGxQWkpKWVIzcEJjMVdMTnhOYU5GNWZIeWxGVmVjZG1jSzdZdmpUQ0tNTVM0MklhbXpPc0RQc3ZwbVRWRE9NNWI3Y2NVWXNYc1E1VWk3X1dEY3V1S0U0Qw?oc=5,Novanta to Acquire Riverpoint Medical from Arlington Capital Partners in $1.45 Billion Deal,closed
2026-06-09,Caltagirone / Delfin,Monte dei Paschi di Siena (MPS),,Financials,4,marketscreener.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxObzlMb2VBUzFNd0ZIMXhBRV9jNjZzQ21KOXVXcHd5MDIzamZfZ0ltQXZ5N053UlBibGhhQmVnVDNzYzhZd3pubUZJNHJudEFMTk5FcFZhRmE5Z1FOb3pVSXpiQVZzTlRSdU1VcF82U2NHWU0yUU9QWW43bDdLeTRyRUFfOXAzaXNxbDNoMktwNk1BejJhbDY1cGtvRldWX0d6SXk1NzdGOUpyV05yYUoteVZzd2xBWGtrWmdyTDNOdU41VmIwSVkzWG93YmFzSXRnWHp0WA?oc=5,MPS Takeover Bid: Caltagirone and Delfin Return to the Center of Banking Consolidation,pending
2026-06-08,Johnson & Johnson,Firefly Bio,$1 billion,Healthcare,4,Pulse 2.0,https://news.google.com/rss/articles/CBMiogFBVV95cUxQMUs3UHdjQms3MkhxYklOdXJac0hxX2dTdGZVaHRpSk51QlhWdThqWkRzNzRPR0EwRE9OZzYtVWlIaUVnT21lVy0xWnlqd1EwR3BRbmV3M2NEQlE3RTlieUVXY0h1SnE5RHB5QThJWHZaZUtMc2xHOVFMZnRfdUVUOXhpcXVSVGFPdGtHN1BSR2I4WFVEQ3VFWFRrWVZVYXU5NmfSAacBQVVfeXFMUG5WdkpFT05yVlcxTDdia0hobjVzbXUyWnJWVmZHaG1iUTViMDdaSEhoSlptTkg4Um5mMXhHMzJKeDJTRURFMmh6TmZUaXlLVHRkS2o0YmdTU0xPMkFGdjByUU5iSHE4OW80a2RuWTdEem5wSVVBQ1pfMjIza2lBMnVsOEVxRlotV2MzREU4dzdlTGhXbk5aQW5SYVBlZWVwMXJBa092UWM?oc=5,Johnson & Johnson To Acquire Firefly Bio For $1 Billion To Expand Oncology Pipeline,closed
2026-06-08,Standard BioTools,Treeline Biosciences,$2.5B,Healthcare,4,Stock Titan,https://news.google.com/rss/articles/CBMivgFBVV95cUxPdHRncUNDaVBVUWpDM1o4RDZZaTJieW5IcjVtbnRkZUlCWDNNYnRYLUI1YTNvRXZmaGVRLUYtZlRMZGw2WHpZeEdZN3ZVclFta3ZuY28zd0NEbEYxdGIyNXJpZnZTM0JnTENPX2xyOExQZTJIelJmbWZDZURKYm94Nk5Ga0pjVjJ1X1U5TW5NdGdTVlN0eUczcnJodnhQS3BxVjlEemd5OXFSV2k0T0lwYUVxb0g5eTJ5Ynd0N1Rn?oc=5,Standard BioTools (NASDAQ: LAB) to merge with Treeline in $2.5B exchange‑ratio deal,closed
2026-06-09,QuasarEdge,Robseek,$1.0B,Technology,3,TradingView,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQWEtHTVpFaGVzLVJZOHEyb3BHdnBSY0NxZmxBV0UwV2FNaGlfNEFDUzZmUEVDa1NabENkSEs1N204MnJuaWVpMDlTYW9GbnA5LVdITENubUlKa3NjdXZhTkI3S1RLYjV5Z3V4NzN5Y2lTRGFtRkttbTNEbkVIdFpRYVI4ckZNQUtzall4TW4yc2h4X0hIRmlEc2tGM0tUM0g0aThkNHR4X2ZkT19xNElUV2NDcUxZRzc1Qm51Z3pPM1lXd3c5amwzNlNNaDZTanhQcGlCOEZXYm4zU1FJYUUyUg?oc=5,QuasarEdge to Merge With Robseek in $1.0 Billion Stock Deal; Holders Sign Support Pacts,closed
2026-06-09,ArchiMed (Essence Parent),Esperion,,Healthcare,3,Stock Titan,https://news.google.com/rss/articles/CBMitAFBVV95cUxQM3g0b0VuX2pCMGFUZ3pGQkdpVlg3S3I0bWQtYkhEeEVRVjMxc01KaHo4NDJRXzNCWW5KcFgzY2k3d2p6SkJZNG9KcG5fS3RUZjRrNTJyTFRJUFZmdmFEYVVGbGtQRDZyVmRGUzJpVnVEWjBHMlF2SFh6XzVxSXFEVHc0b3J2VU9CM1lyTjdBSFlQR2ZYQm5kYmdpeTBFYlFDRkJnMFdYUS1tbmtQeGJSbDZoTGs?oc=5,German antitrust clears Esperion (ESPR) merger with ArchiMed affiliate Essence Parent,pending
2026-06-09,VodafoneThree,TalkTalk,,Communications,3,City AM,https://news.google.com/rss/articles/CBMilAFBVV95cUxQYTFkc1JCaEczNW1CSFRxTFdNeUxVYUtEZGtOT0tnLWpWWEpOMS1RYkd0LXpBekE1NDdfZTBGRE1XS19GRGExNnpxd25LV2R3Q1BBSVdHUDRXdjNpU2lwaG5uNkhWcHFIWGR6eGxQdldQYy12dExUVWJiQ1BHNWJSNUJhdHctb08tUGc2MFZQS0JWLWE0?oc=5,VodafoneThree enters race for TalkTalk customers with takeover bid,pending
2026-06-09,IonQ,SkyWater Technology,,Technology,3,marketscreener.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQSEU0dUpHbmJfZXdOVy0zNE8zekJ2Q1dQUGV6NnJKZnMySDZNalQwMkpWak9XV0FJTXp0TlU4SVNIdkxhS2RjckJ4Z24xeU9XY2JOZ2VfaTRmU24zREt2RDR0SDZsNVlBVUlZTGtnYVVRbnNDbjUtYk8tWHpBRWVqQ2o4VUNxa0ZBdHB6eWFVV2d0VXRJNTJhcWdISzJsdExJYW92SEMySlY1eHBKVVQ3MXdGaERQSU4xa0NuNA?oc=5,SkyWater Technology Stockholders Approve Merger Agreement with IonQ,pending
2026-06-09,Arcline,Continental Aerospace,$535M,Industrials,3,Pulse 2.0,https://news.google.com/rss/articles/CBMivwFBVV95cUxQV1JNT0ljV3JETUNCWW5kb3lweTFvWTZYbzY4Y21fUUw5eVQ3VnkxUjUyei15WVJndF9Wd2p0c1pSZUl4MHZFczRNRlg4VzExU3JfZkFPdk1wcnBfajN3MlBQdnBXOTFkSXdFTnVlWVZsLW9yeXNPNDYtdW1XS0dzYnpybW9Xc0c3aExVM3NHelBYUTRDVEo5Q01UNlZDLTk4YU40dlJJSFJjRjUyUVJoVXV3Ui1jT1pLQ2JNakdoUdIBxAFBVV95cUxOWTJFRDI5ekp2MlhLTktvcWU2dUU1QS16VzF6RGlNckE1YmJJTFRaRUNyelVVNy1qWnFjM0VZbnpjTVJEVXdkZ3BHd3FzVlhsODRmOW1VY2dfbWE4VlowakZ6NlRKWjM4aUNiNXhGNGJFQ25VSVJkYkh6di0tOGU0YUpfM2I5b3lCTHE4dXhFR3JpWTl3UjE4VnVnWEdmdGFqZ3dIZmQ4a2RQVkhiZmt0VEMwV2VuRkQ1c3dEa3N3VmhZN3I0?oc=5,Arcline To Acquire Continental Aerospace In $535 Million Deal,closed
2026-06-09,Thoma Bravo,Kneat,C$650M,Technology,3,Silicon Republic,https://news.google.com/rss/articles/CBMinwFBVV95cUxQZ1MtWU4zUzhrNnBaQ3lGVUJKRV82MnBoa0lnZ1ZrMHdmR2FFNWZycUZPWUwwNThjLVFUSFBLWlpMeXhHZ0Z1VzlUM09kVkJXOE9Pd3YxUFVFZGJKUVBMaG00MGItdnFueXEyemU3cVRfbV80d1REU2VfcXVQdk1xbS0xb18tNTVVY0x0SVlfNjI5a2tULVplSjJFQUFuSFU?oc=5,Limerick-based software company Kneat to be acquired by Thoma Bravo for C$650m,closed
2026-06-09,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/927628/000119312526263735/d94250dex51.htm,"[8-K] CAPITAL ONE FINANCIAL CORP  (COF, COF-PI, COF-PJ, COF-PK, COF-PL, COF-PN)  (CIK 0000927628)",pending
2026-06-09,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1805284/000110465926071607/tm2614339d1_ex99-3.htm,"[8-K] Rocket Companies, Inc.  (RKT)  (CIK 0001805284)",pending
2026-06-08,,Harmonic Video Business,$145M,Technology,3,Stock Titan,https://news.google.com/rss/articles/CBMiowFBVV95cUxQVEhLaWM5RFpxYkJ4Ny1ZbThhQWRKYkZ2cGxSTEc0S0JsVDJ4Ny1DVjdIT3lKMHp3b1o5V3ptNnZ6VlJIb3AzdmNlcUxETDZEQzl3UlJuQlZtZjVNclR4X3VPSG1MZEhMV2lYLW1LaVpMdVhNbV9qODFQZG9sNm9uYUNBSXdEMlNwbXRqa2JzQVpDMHNXN2dyM2JnSDRWRmcyYm1Z?oc=5,Harmonic (NASDAQ: HLIT) says $145M Video Business sale on track for Q2 2026,pending
2026-06-08,Wesco,Newark Engineering Group,S$175M,Industrials,3,PR Newswire,https://news.google.com/rss/articles/CBMikAJBVV95cUxPRkFSZ2dkb2w2a2tkWHVxRUVYTmY4MVAtQjN0NFFlZVNpckwtLW4wdllqdzI0X1dLdVFHc2dLQl9qbzMwS2hleDlmY3dMS1ZnSVB1ZmFMSkxDUnZRWUV3Nzh2d280MHh5VTNkc0o2QjBCNElUY2xrZFhHQWlfU3RYTFhQV0I0V2pTd09MZHlWV19hYXQxVmlhZ2Vjek9tLVhxQ05PODFtbkNteUo1NF80VVVRUEdRT0R2TmphOFFzMkZVTEFiYWNaNHFVUTRuRXIxaEVaMjU1NG1hY1VBRC1WUTZwWWdIaEdWSXh2b203ZFBIcDNaeThBVFA3alBTR2VCQzNxSUNWaTdpdjdaN3NHbA?oc=5,"Wesco Enters into Definitive Agreement to Acquire Newark Engineering Group, Expanding Data Center Cooling and Lifecycle Services",closed
2026-06-08,Talen Energy,Lawrenceburg (power asset),,Utilities,3,Eagle Country 99.3,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOcVcwMkRuTmRVWEUxWjNaT0ZCc3BLR19sMDFZeFNHdzA3c3FnekluQjlsZmF6YkFZek12YjNKT0lpUnBrc0xhSk9yUWdlMnVoQ1M3TF8tZzNjTXhkTHc2TkdOWkRiSFF3SmFMSzRuZjRKazNFYjlVaGJlTW1NQVV0dVYyc3hVaUNGS0tNdVR2ekY3T0ExVVhTbDRuWFUzYklINjRRNWpXV3VQYzVJNjJJcTlyOV9SdUtWU1FmQ3VfcWU?oc=5,Talen Energy Receives Regulatory Clearance for Lawrenceburg Acquisition,pending
2026-06-08,Alliance Resource Partners,Oil & Gas Royalties Platform (undisclosed),$206M,Energy,3,Business Wire,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQckpvc3FobXVoenBKdEhiQzZpNjFackJPa3lwcWZFUEtFU1loRFVFMGxRdTdnRHN4MGcxZFdXaHJEQXBxSDR4d1NlbVlGUzZTN1dfaHo4Ym04QUUzWERkRmRqX0F5b1g3M21NNHFMWTBRekJSVDRtMV9tbDI0aXNCbkNaRE41TzRDcmJDbnBjMFg1OWdWWkx0Z3VLc2Y3TFhUaEE3dUFvdk9PS1JmbWxkcUpMcjkzNjNxLTQ5UFVOeUVfZDNwN1d0cVpmcHBBV2xSWmJOV1NSRXUxdG4ycTNhV2c5RFdweHhjeURZ?oc=5,"Alliance Resource Partners, L.P. Expands Oil & Gas Royalties Platform With $206 Million Acquisition",closed
2026-06-08,,Esperion Therapeutics,$3.16/share plus CVRs,Healthcare,3,Stock Titan,https://news.google.com/rss/articles/CBMiugFBVV95cUxNMVo2aTNZMVZOMTBZREVBRG95VXdJOEVuUWJuYS1vVEd1VXpsV3pqLU5vZ0hYSzJhbllGRkVOUEtZMTcwMnFqblprZkxQRE5yWmVXUU1nMnVhbXFDY2VhNTVPem45bG5WUVp0Z0FlWlJ4amlHS1lodVJMcWp0WlRUYVdpM29odHc3bndxZjZSTWttLXZjTElxcVhEOW54QWJ4UHI3Z0FoUmlNdmc1cUhvZTZvc3RLbGF0SHc?oc=5,Esperion Therapeutics (NASDAQ: ESPR) to be acquired for $3.16/share plus CVRs,closed
2026-06-08,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1820872/000114036126024371/ny20072693x3_8k.htm,"[8-K] Global Business Travel Group, Inc.  (GBTG)  (CIK 0001820872)",pending
2026-06-08,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/915912/000110465926071367/tm2617115d1_8k.htm,[8-K] AVALONBAY COMMUNITIES INC  (AVB)  (CIK 0000915912),pending
2026-06-08,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/906107/000119312526261709/d126845d8k.htm,[8-K] EQUITY RESIDENTIAL  (EQR)  (CIK 0000906107),pending
2026-06-08,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1369568/000119312526261719/d76493ddefm14a.htm,"[DEFM14A] CATALYST PHARMACEUTICALS, INC.  (CPRX)  (CIK 0001369568)",pending
2026-06-08,,,,,3,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1434868/000110465926071107/tm2615754-2_defm14a.htm,"[DEFM14A] Esperion Therapeutics, Inc.  (ESPR)  (CIK 0001434868)",pending
2026-06-10,Horizon,Cue,,Healthcare,2,TipRanks,https://news.google.com/rss/articles/CBMixgFBVV95cUxPWW5rcmJSb0Fwdl9mV0R6aVVWWmJVQU9CVEFBRzRVTkhlSExUN2lBSmctX3JMVER1blRLUDFyNUxxaEdxSjVzc0t2TkNhRmo4TzhvZFlfUEdJWFFyUTNFZ1ZzS2FuQ0cxR2djRDY5S09JQ0hjTXVaVVNCaGxtcHg3U3h2RmhrUWdiX0dSYlN2bnRKcDRqNGJHVjBuNkZGZUtQc1I5Q3hzWS1fcnp1WVdJNHFheEI5eUZ1T2VoYlZycTlVTkZDS2c?oc=5,Cue board urges shareholders to reject Horizon’s best-and-final takeover bid,pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1104038/000121465926007273/z682618k.htm,"[8-K] VerifyMe, Inc.  (VRME)  (CIK 0001104038)",pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/320017/000114036126024560/ef20075787_ex2-1.htm,"[8-K] LISATA THERAPEUTICS, INC.  (LSTA)  (CIK 0000320017)",pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1604778/000095010326008680/dp248142_8k.htm,"[8-K] Qorvo, Inc.  (QRVO)  (CIK 0001604778)",pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1434868/000110465926071814/tm2617356d1_8k.htm,"[8-K] Esperion Therapeutics, Inc.  (ESPR)  (CIK 0001434868)",pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/69733/000143774926019921/ex_969027.htm,"[8-K] NATHANS FAMOUS, INC.  (NATH)  (CIK 0000069733)",pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1362468/000114036126024567/ef20075796_ex99-1.htm,[8-K] Allegiant Travel CO  (ALGT)  (CIK 0001362468),pending
2026-06-09,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1757715/000143774926019932/ater20260608_defm14a.htm,"[DEFM14A] Aterian, Inc.  (ATER)  (CIK 0001757715)",pending
2026-06-08,Echo Lake,Aclarion,$4/share,Healthcare,2,Investing.com India,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOVWdXN3BqdzRDUUZPdkYtRWxkbzlVTzJvR1oxWXZBX2FFdjY2S0dsdzBEdjNxZWQ4QloxcjZ0Vzc5VHdIX0dGYXlpYWxRU0xsYkdGbmg5MjhUaXhmOHVVZWRBcjY4WEhjekRwOUtrNUxDaHNESEJ6TlZkRXo3aGhIT3dwZFFsMmdhUm9HQzVwNjh3WU9tMGVVWjVXMGJqX0J5SlI3LUsydThFOTh6T2JhOUw3WWRlaTMtTGtv?oc=5,Aclarion board rejects Echo Lake’s $4 per share takeover bid By Investing.com,pending
2026-06-08,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/22701/000121390026066011/ea0293876-8k425_sunation.htm,"[8-K] SUNation Energy, Inc.  (SUNE)  (CIK 0000022701)",pending
2026-06-08,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/750558/000075055826000012/qnbc-20260401.htm,[8-K/A] QNB CORP.  (QNBC)  (CIK 0000750558),pending
2026-06-08,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1826681/000119312526261941/pdyn-ex10_1.htm,"[8-K] Palladyne AI Corp.  (PDYN, PDYNW)  (CIK 0001826681)",pending
2026-06-08,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000098/nauticusroboticsinc2022o.htm,"[8-K/A] Nauticus Robotics, Inc.  (KITT, KITTW)  (CIK 0001849820)",pending
2026-06-09,VerifyMe,Open World,,Technology,1,TradingView,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNemhxdWxDQ0hMTFFwRzY4TmxBWkdQcFUxaW5PTW5ub2xpbndZaVBMVmhEd0I2SXR5bTdqaFIwT19uQmpDYlFERnR2ZVBPWUFiUnBuY2NXalJnS1V0dm1IaG5KelY2UW9ZZzJFOGF4WTVNalBEYkN4Skx6eE9MZUJ1LVBBLThSYjFiZUxjbVpBN2JiNFlpc3JDTnZHUFVjaE9ra3dWQXVITFZsQ29lUnR3aS1HSU1iaGZnclU4RUxwa2FaWjhOb0cwYjRWMFFKZnkycmU0TXBtREZMa3JjbDA0RFFIZ2Nhc2tzNXVZRUxKSQ?oc=5,VerifyMe Amends Open World Merger Agreement to Count Shares Issuable Under Existing Equity Deals,pending
2026-06-09,,,,,1,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,"[8-K] Cycurion, Inc.  (CYCU, CYCUW)  (CIK 0001868419)",pending
2026-06-09,,,,,1,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1785056/000119312526263835/trnr-20260608.htm,"[8-K] Interactive Strength, Inc.  (TRNR)  (CIK 0001785056)",pending
2026-06-10,,Steadfast Group,$7.7bn,Financials,4,Bez Kabli,https://news.google.com/rss/articles/CBMioAFBVV95cUxPeWZUei1uelJMNHJKREFzNDZqQy1GM2ljdWd1dWgwVjBrbDNtQWVWajZpeXZKNHRncWxPMjJNU0UwZW1oN0xoWWZSU2h5WEVkcUt6YTNDT1N6dEo1aEhQUVZRanlmSXVnZEJvd0Z5VHhhTG94eUFVWGx4SGIzVy1pS2JJazBJbkpHd1RwQ21VRXBXM3FCWDZJdkdobzNNTVNL?oc=5,Steadfast Group jumps on $7.7bn takeover offer; SDF remains under bid price,pending
2026-06-10,Frasers Group,Hugo Boss,€2 billion,Consumer Discretionary,4,Reuters,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNjJOOHF0SHBvVE5Ga1VBSVBpZ3gxa0pmZmY5SXN4Z2tYNDRRZ3JhQ1duN29XNXMxR1RJYnpvY2lOMDlXejNFSnpwS09oNW1RNFpxbndqZS00ckpIZFFNbTlreXJHTHBqeE5iRzl2V0piV3BrS1Z0Z2VqMFN6dVNXQm9qeDZkRWRucGltTm1RaUE5elZqekxaQm4wOEM5NkNJSEEwTlV3?oc=5,Frasers Group launches €2 billion takeover offer for struggling Hugo Boss,pending
2026-06-10,Agnico Eagle,Aurion Resources,,Materials,3,Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMijgFBVV95cUxNWkxkQmxzOGRmMEViOE1paW5tdDRwRUYtMFRlejlyVFFvMm1QdVFIamZSUE9RSmNvbEhhOHY1aHVXT1FFdWYwejdSN21BbUd0eG9Uazd2TXVhaUtYbjY0T3VqVVczNkJfMERlUk9nSWRmU0o3SzE0VnM1VDFXZ1ByLUl4TzYtRzB3NWl3SExB?oc=5,Aurion Resources gets court approval to be acquired by Agnico Eagle,pending
